date,status,price,total_adresses,var_total_adresses,eth_adresses,var_eth_adresses,bsc_adresses,var_bsc_adresses,matic_adresses,var_matic_adresses,instant_trades,var_instant_trades,bridges,var_bridges
2021-10-08T10:30:00Z,S,0.26238,9098,66,6660,30,2265,32,173,4,26330681,516340,21231493,141413
2021-10-09T10:30:00Z,S,0.28779,9163,131,6689,59,2297,64,177,8,26847021,1032680,21372905,282825
2021-10-10T10:30:00Z,S,0.359334,9298,135,6756,67,2350,53,192,15,27593827,746806,22121629,748724
2021-10-11T10:30:00Z,S,0.388372,9374,76,6777,21,2402,52,195,3,27850217,256390,22342794,221165
2021-10-12T10:30:00Z,S,0.372933,9384,10,6779,2,2410,8,195,0,27974337,124120,22509063,166269
2021-10-13T10:30:00Z,S,0.351156,9465,81,6796,17,2467,57,202,7,28076241,101904,22808710,299647
2021-10-14T10:30:00Z,S,0.423238,9506,41,6818,22,2483,16,205,3,28375728,299487,23018063,209353
2021-10-15T10:30:00Z,S,0.396269,9535,29,6822,4,2502,19,211,6,28609454,233726,23144517,126454
2021-10-16T10:30:00Z,S,0.40074,9551,16,6826,4,2509,7,216,5,28784595,175141,23217537,73020
2021-10-17T10:30:00Z,S,0.373675,9562,11,6829,3,2514,5,219,3,29014062,229467,23340156,122619
2021-10-18T10:30:37Z,S,0.354406,9565,3,6826,-3,2523,9,216,-3,29291758,277696,23569859,229703
2021-10-19T10:30:56Z,S,0.350167,9558,-7,6815,-11,2523,0,220,4,29661447,369689,23870552,300693
2021-10-20T10:30:42Z,S,0.372859,9576,18,6820,5,2536,13,220,0,29857644,196197,24412537,541985
2021-10-21T10:31:23Z,S,0.401648,9588,12,6820,0,2548,12,220,0,29962163,104519,25079176,666639
2021-10-22T10:30:22Z,S,0.643238,10289,701,7053,233,2992,444,244,24,31188487,1226324,25944226,865050
